userId,age,gender,occupation,zip
667,35,M,librarian,01970
669,37,M,other,20009
671,21,M,programmer,91919
673,51,M,educator,22906
675,34,M,other,28814
677,20,M,other,99835
679,20,F,student,54302
681,44,F,marketing,97208
683,42,M,librarian,23509
685,32,F,librarian,55409
687,31,F,healthcare,27713
689,25,M,other,45439
691,34,M,educator,60089
693,43,F,healthcare,85210
695,26,M,writer,38115
697,25,M,other,77042
699,44,M,other,96754
701,51,F,librarian,56321
703,26,M,educator,49512
705,21,F,student,54494
707,56,F,librarian,19146
709,21,M,other,N4T1A
711,22,F,student,15203
713,42,F,other,07204
715,21,M,technician,91206
717,24,M,technician,84105
719,37,F,other,V0R2H
721,24,F,entertainment,11238
723,26,M,executive,94403
725,21,M,student,91711
727,25,M,student,78741
729,19,M,student,56567
731,41,F,educator,70403
733,44,F,other,60630
735,29,F,healthcare,85719
737,30,M,programmer,98072
739,35,M,technician,73162
741,25,M,writer,63108
743,31,M,programmer,92660
745,42,M,writer,55113
747,19,M,other,93612
749,33,M,other,80919
751,24,F,other,90034
753,56,M,salesman,91206
755,44,F,educator,97007
757,26,M,student,55104
759,20,F,student,68503
761,17,M,student,97302
763,27,M,scientist,02113
765,31,M,student,33066
767,70,M,engineer,00000
769,39,M,executive,06927
771,26,M,student,15232
773,20,M,student,55414
775,46,M,executive,90036
777,63,M,programmer,01810
779,31,M,student,K7L5J
781,20,M,student,48825
783,30,M,marketing,77081
785,32,M,engineer,23322
787,18,F,student,98620
789,29,M,other,55420
791,31,M,educator,20064
793,22,M,student,85281
795,30,M,programmer,08610
797,44,F,other,62522
799,49,F,administrator,19716
801,22,M,writer,92154
803,70,M,administrator,78212
805,27,F,other,20009
807,41,F,healthcare,93555
809,50,F,marketing,30803
811,40,F,educator,73013
813,14,F,student,02136
815,32,M,other,28806
817,19,M,student,60152
819,59,M,administrator,40205
821,37,M,engineer,77845
823,27,M,artist,50322
825,44,M,engineer,05452
827,23,F,engineer,80228
829,48,M,writer,80209
831,21,M,other,33765
833,34,M,writer,90019
835,44,F,executive,11577
837,36,F,artist,55409
839,38,F,entertainment,90814
841,45,M,doctor,47401
843,35,M,librarian,44212
845,64,M,doctor,97405
847,29,M,student,55417
849,15,F,student,25652
851,18,M,other,29646
853,49,M,writer,40515
855,53,M,librarian,04988
857,35,F,administrator,V1G4L
859,18,F,other,06492
861,38,F,student,14085
863,17,M,student,60089
865,25,M,artist,11231
867,24,M,scientist,92507
869,30,M,student,10025
871,31,M,executive,44648
873,48,F,administrator,33763
875,24,F,student,35802
877,30,M,other,77504
879,33,F,administrator,55337
881,39,M,marketing,43017
883,49,M,librarian,50266
885,30,F,other,95316
887,14,F,student,27249
889,24,M,technician,78704
891,51,F,administrator,03062
893,25,M,student,95823
895,31,F,librarian,32301
897,30,M,other,33484
899,32,M,other,55116
901,38,M,executive,L1V3W
903,28,M,educator,20850
905,27,M,other,30350
907,25,F,other,80526
909,50,F,educator,53171
911,37,F,writer,53210
913,27,M,student,76201
915,50,M,entertainment,60614
917,22,F,student,20006
919,25,M,other,14216
921,20,F,student,98801
923,21,M,student,E2E3R
925,18,F,salesman,49036
927,23,M,programmer,55428
929,44,M,scientist,53711
931,60,M,educator,33556
933,28,M,student,48105
935,42,M,doctor,66221
937,48,M,educator,98072
939,26,F,student,33319
941,20,M,student,97229
943,22,M,student,77841
